opening,win_count,draw_count,total_games,white_wins,black_wins,win_rate,draw_rate,white_win_rate,black_win_rate
Sicilian Defense: Hyperaccelerated Pterodactyl,11,1,12,7,4,0.9166666666666666,0.08333333333333333,0.6363636363636364,0.36363636363636365
Sicilian Defense: Snyder Variation,12,0,12,5,7,1.0,0.0,0.4166666666666667,0.5833333333333334
Sicilian Defense: Hyperaccelerated Dragon,10,1,11,5,5,0.9090909090909091,0.09090909090909091,0.5,0.5
Sicilian Defense: Staunton-Cochrane Variation,10,1,11,3,7,0.9090909090909091,0.09090909090909091,0.3,0.7
Sicilian Defense: Classical Variation,10,1,11,2,8,0.9090909090909091,0.09090909090909091,0.2,0.8
Sicilian Defense: Grand Prix Attack,11,0,11,7,4,1.0,0.0,0.6363636363636364,0.36363636363636365
"Sicilian Defense: Accelerated Dragon, Modern Variation",11,0,11,7,4,1.0,0.0,0.6363636363636364,0.36363636363636365
"Sicilian Defense: Kan Variation, Modern Variation",8,2,10,4,4,0.8,0.2,0.5,0.5
"Sicilian Defense: Kan Variation, Maróczy Bind, Réti Variation",9,1,10,5,4,0.9,0.1,0.5555555555555556,0.4444444444444444
"Sicilian Defense: Closed, Chameleon Variation",7,3,10,5,2,0.7,0.3,0.7142857142857143,0.2857142857142857
Sicilian Defense: Keres Variation,8,1,9,8,0,0.8888888888888888,0.1111111111111111,1.0,0.0
"Sicilian Defense: Najdorf Variation, Adams Attack",9,0,9,4,5,1.0,0.0,0.4444444444444444,0.5555555555555556
"Sicilian Defense: Wing Gambit, Marshall Variation",7,1,8,3,4,0.875,0.125,0.42857142857142855,0.5714285714285714
Sicilian Defense: Smith-Morra Gambit,8,0,8,5,3,1.0,0.0,0.625,0.375
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation",7,0,7,4,3,1.0,0.0,0.5714285714285714,0.42857142857142855
"Sicilian Defense: Najdorf Variation, Opocensky Variation",6,0,6,4,2,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line",6,0,6,5,1,1.0,0.0,0.8333333333333334,0.16666666666666666
"Sicilian Defense: Dragon Variation, Yugoslav Attack",5,1,6,3,2,0.8333333333333334,0.16666666666666666,0.6,0.4
"Sicilian Defense: Dragon Variation, Levenfish Variation",5,1,6,3,2,0.8333333333333334,0.16666666666666666,0.6,0.4
"Sicilian Defense: Najdorf Variation, Amsterdam Variation",5,1,6,0,5,0.8333333333333334,0.16666666666666666,0.0,1.0
Sicilian Defense: Godiva Variation,5,1,6,1,4,0.8333333333333334,0.16666666666666666,0.2,0.8
"Sicilian Defense: French Variation, Open",6,0,6,3,3,1.0,0.0,0.5,0.5
"Sicilian Defense: Four Knights Variation, Cobra Variation",6,0,6,3,3,1.0,0.0,0.5,0.5
Sicilian Defense: Lasker-Pelikan Variation,5,0,5,3,2,1.0,0.0,0.6,0.4
"Sicilian Defense: Najdorf Variation, Lipnitsky Attack",5,0,5,2,3,1.0,0.0,0.4,0.6
Sicilian Defense: Open,4,1,5,0,4,0.8,0.2,0.0,1.0
Sicilian Defense: Wing Gambit,5,0,5,2,3,1.0,0.0,0.4,0.6
"Sicilian Defense: Najdorf Variation, Opocensky Variation, Traditional Line",4,1,5,3,1,0.8,0.2,0.75,0.25
"Sicilian Defense: Modern Variations, Tartakower",5,0,5,1,4,1.0,0.0,0.2,0.8
"Sicilian Defense: Dragon Variation, Modern Bc4 Variation",5,0,5,4,1,1.0,0.0,0.8,0.2
"Sicilian Defense: Nimzowitsch Variation, Closed Variation",5,0,5,2,3,1.0,0.0,0.4,0.6
Sicilian Defense: McDonnell Attack,4,1,5,2,2,0.8,0.2,0.5,0.5
Sicilian Defense: Kramnik Variation,2,2,4,1,1,0.5,0.5,0.5,0.5
Sicilian Defense: Richter-Rauzer Variation,3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666
"Sicilian Defense: Najdorf Variation, Main Line",4,0,4,1,3,1.0,0.0,0.25,0.75
"Sicilian Defense: Richter-Rauzer Variation, Neo-Modern Variation",4,0,4,1,3,1.0,0.0,0.25,0.75
"Sicilian Defense: Nimzowitsch Variation, Main Line",4,0,4,2,2,1.0,0.0,0.5,0.5
"Sicilian Defense: Scheveningen Variation, English Attack",4,0,4,1,3,1.0,0.0,0.25,0.75
"Sicilian Defense: Nimzowitsch Variation, Advance Variation",3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666
"Sicilian Defense: Richter-Rauzer Variation, Modern Variation",4,0,4,2,2,1.0,0.0,0.5,0.5
"Sicilian Defense: Moscow Variation, Sokolsky Variation",3,1,4,1,2,0.75,0.25,0.3333333333333333,0.6666666666666666
Sicilian Defense: Dragon Variation,3,0,3,0,3,1.0,0.0,0.0,1.0
"Sicilian Defense: O'Kelly Variation, Normal System",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation",3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Panov Variation",2,1,3,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5
Sicilian Defense: Bowdler Attack,3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: O'Kelly Variation, Venice System",2,1,3,0,2,0.6666666666666666,0.3333333333333333,0.0,1.0
"Sicilian Defense: Four Knights Variation, Exchange Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation",2,1,3,1,1,0.6666666666666666,0.3333333333333333,0.5,0.5
"Sicilian Defense: French Variation, Normal",3,0,3,1,2,1.0,0.0,0.3333333333333333,0.6666666666666666
Sicilian Defense: Smith-Morra Gambit Deferred,3,0,3,3,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Richter-Rauzer Variation, Vitolins Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",3,0,3,3,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Najdorf Variation, Zagreb Variation",3,0,3,2,1,1.0,0.0,0.6666666666666666,0.3333333333333333
Sicilian Defense: Kveinis Variation,3,0,3,3,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Sozin Attack, Flank Variation",2,0,2,2,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Classical Variation, Anti-Sozin Variation",1,1,2,0,1,0.5,0.5,0.0,1.0
Sicilian Defense: Accelerated Dragon,2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Dragon Variation, Fianchetto Variation",1,1,2,0,1,0.5,0.5,0.0,1.0
"Sicilian Defense: Dragon Variation, Classical Variation",2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: O'Kelly Variation, Normal System, Smith-Morra Line",1,1,2,1,0,0.5,0.5,1.0,0.0
"Sicilian Defense: Taimanov Variation, Bastrikov Variation, English Attack",2,0,2,0,2,1.0,0.0,0.0,1.0
Sicilian Defense: Scheveningen Variation,2,0,2,1,1,1.0,0.0,0.5,0.5
Sicilian Defense: Boleslavsky Variation,2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: Smith-Morra Gambit Declined, Dubois Variation",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Prins Variation, Venice Attack",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: French Variation, Westerinen Attack",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation",2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: Scheveningen Variation, Delayed Keres Attack",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Modern Variations, Main Line",2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations",2,0,2,0,2,1.0,0.0,0.0,1.0
Sicilian Defense: Nimzowitsch Variation,2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Taimanov Variation, Szén Variation",2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: Dragon Variation, Classical Variation, Battery Variation",1,1,2,1,0,0.5,0.5,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Classical Formation",1,1,2,0,1,0.5,0.5,0.0,1.0
Queen's Pawn Game: Franco-Sicilian Defense,2,0,2,0,2,1.0,0.0,0.0,1.0
"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Novosibirsk Variation",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange",2,0,2,2,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Wing Gambit, Deferred Variation",2,0,2,1,1,1.0,0.0,0.5,0.5
"Sicilian Defense: O'Kelly Variation, Yerevan System",1,1,2,1,0,0.5,0.5,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Richter-Rauzer Variation, Classical Variation",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Dragon Variation, Yugoslav Attack, Sosonko Variation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense",1,0,1,0,1,1.0,0.0,0.0,1.0
Sicilian Defense: Marshall Gambit,1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Scheveningen Variation, Fianchetto Variation",0,1,1,0,0,0.0,1.0,,
Sicilian Defense: Kan Variation,0,1,1,0,0,0.0,1.0,,
Sicilian Defense: Katalimov Variation,1,0,1,0,1,1.0,0.0,0.0,1.0
Sicilian Defense: Venice Attack,1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Grand Prix Attack, Schofman Variation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Kan Variation, Wing Attack",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Canal Attack, Haag Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0
Sicilian Defense: Pin Variation,1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Najdorf Variation, Freak Attack",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Scheveningen Variation, Classical Variation",0,1,1,0,0,0.0,1.0,,
"Sicilian Defense: O'Kelly Variation, Venice System, Gambit Line",1,0,1,0,1,1.0,0.0,0.0,1.0
Sicilian Defense: Gaw-Paw Variation,1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: O'Kelly Variation, Normal System, Zagorovsky Line",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Accelerated Fianchetto, Maróczy Bind",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Najdorf Variation, Traditional Line",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Accelerated Dragon, Exchange Variation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Nimzowitsch Variation, Exchange Variation",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: O'Kelly Variation, Réti System",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Scheveningen Variation, Matanovic Attack",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: O'Kelly Variation, Venice System, Barcza Line",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Morphy Gambit, Andreaschek Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Wing Gambit, Abrahams Variation",0,1,1,0,0,0.0,1.0,,
Sicilian Defense: Morphy Gambit,1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: McDonnell Attack, Tal Gambit",0,1,1,0,0,0.0,1.0,,
"Sicilian Defense: Lasker-Pelikan Variation, Bird Variation",1,0,1,0,1,1.0,0.0,0.0,1.0
Sicilian Defense: Lasker-Dunne Attack,1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Sozin, not Scheveningen",0,1,1,0,0,0.0,1.0,,
"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Scheveningen Variation, Keres Attack",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Scheveningen Variation, Tal Variation",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Taimanov Variation, American Attack",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Scheveningen Variation, Modern Variation",1,0,1,0,1,1.0,0.0,0.0,1.0
"Sicilian Defense: Taimanov Variation, Bastrikov Variation, Ponomariov Gambit",1,0,1,1,0,1.0,0.0,1.0,0.0
"Sicilian Defense: Dragon Variation, Classical Variation, Alekhine Line",1,0,1,0,1,1.0,0.0,0.0,1.0
